ID,Date,Description,Currency,Amount,Type,Tags,Account,Status,Memo,IOU
178997647,2022-08-29,"rit naar Delft met Mathieu",EUR,-8,Expense,"Parental refund / Transport","current account",Cleared," "
178252093,2022-08-09,"toeristentaks Budva",EUR,-42.5,Expense,"Parental refund","current account",Cleared," "
178122038,2022-08-03,"trein van Antwerpen naar Liedekerke",EUR,-6.6,Expense,"Parental refund / Transport","current account",Cleared," "
