month,amount
2025-01,1833.51
2025-02,554.5900000000001
2025-03,3287.1000000000004
2025-04,1461.72
2025-05,2075.29
2025-06,1382.7100000000003
2025-07,889.99
2025-08,1500.47
2025-09,464.0500000000002
