month,is_income_category,amount
2025-01,False,-1106.2
2025-01,True,2939.71
2025-02,False,-2165.12
2025-02,True,2719.71
2025-03,False,667.3900000000001
2025-03,True,2619.71
2025-04,False,-1172.99
2025-04,True,2634.71
2025-05,False,-1558.72
2025-05,True,3634.01
2025-06,False,-1893.36
2025-06,True,3276.07
2025-07,False,-1644.72
2025-07,True,2534.71
2025-08,False,-1484.93
2025-08,True,2985.4
2025-09,False,-2511.63
2025-09,True,2975.6800000000003
